Key,Id,English(en),Japanese (Japan)(ja-JP),Korean (South Korea)(ko-KR)
GAME_STARTING_KP_3,,핵탄두를 미제로 발사했습네다.,核弾頭を米帝へ向け発射した。,핵탄두를 미제로 발사했습네다.
GAME_INTRO_KP_2_1,,국방 과학 부문의 과학자,国防科学部門の科学者、技術者、労働者階級の,국방 과학 부문의 과학자
GAME_STARTING_KP_2,,기술적인 사고가 발생했습네다.,技術的な事故が発生した。,기술적인 사고가 발생했습네다.
GAME_STARTING_KP_1,,주체{0}년 ({1}년),主体{0}年（{1}年）,주체{0}년 ({1}년)
GAME_STARTING_KP_5,,이 재앙을 막을 마지막 희망은...,この災厄を阻止する最後の希望は…,이 재앙을 막을 마지막 희망은...
SCRIPT_SENDING_ICBM,,미국으로 대륙간 탄도미사일을 발사합니다...,米国へ向け、大陸間弾道ミサイルを発射する…。,미국으로 대륙간 탄도미사일을 발사합니다...
ITEM_TELEPHONE,,전화기,電話機,전화기
GAME_INTRO_KP_4,,위대한 수령 동지를 위하여.,偉大なる首領同志のために。,위대한 수령 동지를 위하여.
ITEM_BIG_BEAUTIFUL_BUTTON,,크고 아름다운 버튼,大きく、かつ美麗なるボタン,크고 아름다운 버튼
GAME_STARTING_KP_4,,군수공업부에서는 대략 10분이 지나면 핵탄두가 워싱턴에 도착할 것이라고 합네다.,軍需工業部によれば、約10分後には核弾頭がワシントンに到達するとのことである。,군수공업부에서는 대략 10분이 지나면 핵탄두가 워싱턴에 도착할 것이라고 합네다.
GAME_STARTING_KP_6,,백악관에 전화해 이 미사일을 격추하는 것 뿐입네다.,ホワイトハウスへ電話し、このミサイルを撃墜することのみである。,백악관에 전화해 이 미사일을 격추하는 것 뿐입네다.
GAME_INTRO_KP_3,,혁명적인 기술로 미제까지 10분밖에 안걸립네다.,革命的技術により、米帝までわずか10分しか要さぬ。,혁명적인 기술로 미제까지 10분밖에 안걸립네다.
GAME_INTRO_KP_2,,국방 과학 부문의 과학자,国防科学部門の科学者、技術者、労働者階級による、火のごとき献身と犠牲によって完成したものである。,국방 과학 부문의 과학자
GAME_INTRO_NOTIFY_KP_WARNING,,이 게임은 북한이나 특정 기구를 찬양하거나 미화할 목적으로 제작한 것이 아닙니다.,このゲームは、北朝鮮や特定の機関を称賛したり美化したりする目的で制作されたものではありません。,이 게임은 북한이나 특정 기구를 찬양하거나 미화할 목적으로 제작한 것이 아닙니다.
GAME_INTRO_KP_1,,국가 방위성이 국방과학원이 핵탄두를 성공적으로 개발했음을 보고했습네다.,国家保衛省および国防科学院が、核弾頭の開発成功を報告した。,국가 방위성이 국방과학원이 핵탄두를 성공적으로 개발했음을 보고했습네다.
GAME_INTRO_KP_2_2,,국방 과학 부문의 과학자,国防科学部門の科学者、技術者、労働者階級による、火のごとき献身과 犠牲によって完成したものである。,국방 과학 부문의 과학자
